step,time,z_num,vz_num,z_exact,vz_exact,error_z
83,8.3000000000e-02,4.9649783000e+00,-8.2404000000e-01,4.9662094550e+00,-8.1423000000e-01,1.2311550000e-03
84,8.4000000000e-02,4.9641444500e+00,-8.3385000000e-01,4.9653903200e+00,-8.2404000000e-01,1.2458700000e-03
85,8.5000000000e-02,4.9633007900e+00,-8.4366000000e-01,4.9645613750e+00,-8.3385000000e-01,1.2605850000e-03
86,8.6000000000e-02,4.9624473200e+00,-8.5347000000e-01,4.9637226200e+00,-8.4366000000e-01,1.2753000000e-03
87,8.7000000000e-02,4.9615840400e+00,-8.6328000000e-01,4.9628740550e+00,-8.5347000000e-01,1.2900150000e-03
88,8.8000000000e-02,4.9607109500e+00,-8.7309000000e-01,4.9620156800e+00,-8.6328000000e-01,1.3047300000e-03
89,8.9000000000e-02,4.9598280500e+00,-8.8290000000e-01,4.9611474950e+00,-8.7309000000e-01,1.3194450000e-03
90,9.0000000000e-02,4.9589353400e+00,-8.9271000000e-01,4.9602695000e+00,-8.8290000000e-01,1.3341600000e-03
91,9.1000000000e-02,4.9580328200e+00,-9.0252000000e-01,4.9593816950e+00,-8.9271000000e-01,1.3488750000e-03
92,9.2000000000e-02,4.9571204900e+00,-9.1233000000e-01,4.9584840800e+00,-9.0252000000e-01,1.3635900000e-03
93,9.3000000000e-02,4.9561983500e+00,-9.2214000000e-01,4.9575766550e+00,-9.1233000000e-01,1.3783050000e-03
94,9.4000000000e-02,4.9552664000e+00,-9.3195000000e-01,4.9566594200e+00,-9.2214000000e-01,1.3930200000e-03
95,9.5000000000e-02,4.9543246400e+00,-9.4176000000e-01,4.9557323750e+00,-9.3195000000e-01,1.4077350000e-03
96,9.6000000000e-02,4.9533730700e+00,-9.5157000000e-01,4.9547955200e+00,-9.4176000000e-01,1.4224500000e-03
97,9.7000000000e-02,4.9524116900e+00,-9.6138000000e-01,4.9538488550e+00,-9.5157000000e-01,1.4371650000e-03
98,9.8000000000e-02,4.9514405000e+00,-9.7119000000e-01,4.9528923800e+00,-9.6138000000e-01,1.4518800000e-03
99,9.9000000000e-02,4.9504595000e+00,-9.8100000000e-01,4.9519260950e+00,-9.7119000000e-01,1.4665950000e-03
100,1.0000000000e-01,4.9494686900e+00,-9.9081000000e-01,4.9509500000e+00,-9.8100000000e-01,1.4813100000e-03
101,1.0100000000e-01,4.9484680700e+00,-1.0006200000e+00,4.9499640950e+00,-9.9081000000e-01,1.4960250000e-03
102,1.0200000000e-01,4.9474576400e+00,-1.0104300000e+00,4.9489683800e+00,-1.0006200000e+00,1.5107400000e-03
103,1.0300000000e-01,4.9464374000e+00,-1.0202400000e+00,4.9479628550e+00,-1.0104300000e+00,1.5254550000e-03
104,1.0400000000e-01,4.9454073500e+00,-1.0300500000e+00,4.9469475200e+00,-1.0202400000e+00,1.5401700000e-03
105,1.0500000000e-01,4.9443674900e+00,-1.0398600000e+00,4.9459223750e+00,-1.0300500000e+00,1.5548850000e-03
106,1.0600000000e-01,4.9433178200e+00,-1.0496700000e+00,4.9448874200e+00,-1.0398600000e+00,1.5696000000e-03
107,1.0700000000e-01,4.9422583400e+00,-1.0594800000e+00,4.9438426550e+00,-1.0496700000e+00,1.5843150000e-03
108,1.0800000000e-01,4.9411890500e+00,-1.0692900000e+00,4.9427880800e+00,-1.0594800000e+00,1.5990300000e-03
109,1.0900000000e-01,4.9401099500e+00,-1.0791000000e+00,4.9417236950e+00,-1.0692900000e+00,1.6137450000e-03
110,1.1000000000e-01,4.9390210400e+00,-1.0889100000e+00,4.9406495000e+00,-1.0791000000e+00,1.6284600000e-03
111,1.1100000000e-01,4.9379223200e+00,-1.0987200000e+00,4.9395654950e+00,-1.0889100000e+00,1.6431750000e-03
112,1.1200000000e-01,4.9368137900e+00,-1.1085300000e+00,4.9384716800e+00,-1.0987200000e+00,1.6578900000e-03
113,1.1300000000e-01,4.9356954500e+00,-1.1183400000e+00,4.9373680550e+00,-1.1085300000e+00,1.6726050000e-03
114,1.1400000000e-01,4.9345673000e+00,-1.1281500000e+00,4.9362546200e+00,-1.1183400000e+00,1.6873200000e-03
115,1.1500000000e-01,4.9334293400e+00,-1.1379600000e+00,4.9351313750e+00,-1.1281500000e+00,1.7020350000e-03
