step,time,z,vz,KE
119,1.19000000e-02,1.99928779e+00,-1.17720000e-01,6.92899920e-03
120,1.20000000e-02,1.99927592e+00,-1.18701000e-01,7.04496370e-03
121,1.21000000e-02,1.99926396e+00,-1.19682000e-01,7.16189056e-03
122,1.22000000e-02,1.99925189e+00,-1.20663000e-01,7.27977978e-03
123,1.23000000e-02,1.99923973e+00,-1.21644000e-01,7.39863137e-03
124,1.24000000e-02,1.99922746e+00,-1.22625000e-01,7.51844531e-03
125,1.25000000e-02,1.99921510e+00,-1.23606000e-01,7.63922162e-03
126,1.26000000e-02,1.99920264e+00,-1.24587000e-01,7.76096028e-03
127,1.27000000e-02,1.99919009e+00,-1.25568000e-01,7.88366131e-03
128,1.28000000e-02,1.99917743e+00,-1.26549000e-01,8.00732470e-03
129,1.29000000e-02,1.99916468e+00,-1.27530000e-01,8.13195045e-03
130,1.30000000e-02,1.99915183e+00,-1.28511000e-01,8.25753856e-03
131,1.31000000e-02,1.99913888e+00,-1.29492000e-01,8.38408903e-03
132,1.32000000e-02,1.99912583e+00,-1.30473000e-01,8.51160186e-03
133,1.33000000e-02,1.99911269e+00,-1.31454000e-01,8.64007706e-03
134,1.34000000e-02,1.99909944e+00,-1.32435000e-01,8.76951461e-03
135,1.35000000e-02,1.99908610e+00,-1.33416000e-01,8.89991453e-03
136,1.36000000e-02,1.99907266e+00,-1.34397000e-01,9.03127680e-03
137,1.37000000e-02,1.99905912e+00,-1.35378000e-01,9.16360144e-03
138,1.38000000e-02,1.99904549e+00,-1.36359000e-01,9.29688844e-03
139,1.39000000e-02,1.99903175e+00,-1.37340000e-01,9.43113780e-03
140,1.40000000e-02,1.99901792e+00,-1.38321000e-01,9.56634952e-03
141,1.41000000e-02,1.99900399e+00,-1.39302000e-01,9.70252360e-03
142,1.42000000e-02,1.99898996e+00,-1.40283000e-01,9.83966004e-03
143,1.43000000e-02,1.99897584e+00,-1.41264000e-01,9.97775885e-03
144,1.44000000e-02,1.99896161e+00,-1.42245000e-01,1.01168200e-02
145,1.45000000e-02,1.99894729e+00,-1.43226000e-01,1.02568435e-02
146,1.46000000e-02,1.99893287e+00,-1.44207000e-01,1.03978294e-02
147,1.47000000e-02,1.99891835e+00,-1.45188000e-01,1.05397777e-02
148,1.48000000e-02,1.99890373e+00,-1.46169000e-01,1.06826883e-02
149,1.49000000e-02,1.99888902e+00,-1.47150000e-01,1.08265613e-02
150,1.50000000e-02,1.99887420e+00,-1.48131000e-01,1.09713966e-02
151,1.51000000e-02,1.99885929e+00,-1.49112000e-01,1.11171943e-02
152,1.52000000e-02,1.99884428e+00,-1.50093000e-01,1.12639543e-02
153,1.53000000e-02,1.99882918e+00,-1.51074000e-01,1.14116767e-02
154,1.54000000e-02,1.99881397e+00,-1.52055000e-01,1.15603615e-02
155,1.55000000e-02,1.99879867e+00,-1.53036000e-01,1.17100086e-02
156,1.56000000e-02,1.99878327e+00,-1.54017000e-01,1.18606181e-02
157,1.57000000e-02,1.99876777e+00,-1.54998000e-01,1.20121900e-02
158,1.58000000e-02,1.99875217e+00,-1.55979000e-01,1.21647242e-02
159,1.59000000e-02,1.99873647e+00,-1.56960000e-01,1.23182208e-02
160,1.60000000e-02,1.99872068e+00,-1.57941000e-01,1.24726797e-02
161,1.61000000e-02,1.99870479e+00,-1.58922000e-01,1.26281010e-02
162,1.62000000e-02,1.99868880e+00,-1.59903000e-01,1.27844847e-02
163,1.63000000e-02,1.99867271e+00,-1.60884000e-01,1.29418307e-02
164,1.64000000e-02,1.99865652e+00,-1.61865000e-01,1.31001391e-02
165,1.65000000e-02,1.99864024e+00,-1.62846000e-01,1.32594099e-02
166,1.66000000e-02,1.99862385e+00,-1.63827000e-01,1.34196430e-02
167,1.67000000e-02,1.99860737e+00,-1.64808000e-01,1.35808384e-02
168,1.68000000e-02,1.99859079e+00,-1.65789000e-01,1.37429963e-02
169,1.69000000e-02,1.99857412e+00,-1.66770000e-01,1.39061165e-02
170,1.70000000e-02,1.99855734e+00,-1.67751000e-01,1.40701990e-02
171,1.71000000e-02,1.99854047e+00,-1.68732000e-01,1.42352439e-02
172,1.72000000e-02,1.99852350e+00,-1.69713000e-01,1.44012512e-02
173,1.73000000e-02,1.99850643e+00,-1.70694000e-01,1.45682208e-02
174,1.74000000e-02,1.99848926e+00,-1.71675000e-01,1.47361528e-02
175,1.75000000e-02,1.99847199e+00,-1.72656000e-01,1.49050472e-02
176,1.76000000e-02,1.99845463e+00,-1.73637000e-01,1.50749039e-02
177,1.77000000e-02,1.99843717e+00,-1.74618000e-01,1.52457230e-02
178,1.78000000e-02,1.99841961e+00,-1.75599000e-01,1.54175044e-02
179,1.79000000e-02,1.99840195e+00,-1.76580000e-01,1.55902482e-02
180,1.80000000e-02,1.99838419e+00,-1.77561000e-01,1.57639544e-02
181,1.81000000e-02,1.99836634e+00,-1.78542000e-01,1.59386229e-02
182,1.82000000e-02,1.99834839e+00,-1.79523000e-01,1.61142538e-02
183,1.83000000e-02,1.99833034e+00,-1.80504000e-01,1.62908470e-02
184,1.84000000e-02,1.99831219e+00,-1.81485000e-01,1.64684026e-02
185,1.85000000e-02,1.99829394e+00,-1.82466000e-01,1.66469206e-02
186,1.86000000e-02,1.99827560e+00,-1.83447000e-01,1.68264009e-02
187,1.87000000e-02,1.99825716e+00,-1.84428000e-01,1.70068436e-02
188,1.88000000e-02,1.99823861e+00,-1.85409000e-01,1.71882486e-02
189,1.89000000e-02,1.99821998e+00,-1.86390000e-01,1.73706161e-02
190,1.90000000e-02,1.99820124e+00,-1.87371000e-01,1.75539458e-02
191,1.91000000e-02,1.99818240e+00,-1.88352000e-01,1.77382380e-02
192,1.92000000e-02,1.99816347e+00,-1.89333000e-01,1.79234924e-02
193,1.93000000e-02,1.99814444e+00,-1.90314000e-01,1.81097093e-02
194,1.94000000e-02,1.99812531e+00,-1.91295000e-01,1.82968885e-02
195,1.95000000e-02,1.99810608e+00,-1.92276000e-01,1.84850301e-02
196,1.96000000e-02,1.99808676e+00,-1.93257000e-01,1.86741340e-02
197,1.97000000e-02,1.99806733e+00,-1.94238000e-01,1.88642003e-02
198,1.98000000e-02,1.99804781e+00,-1.95219000e-01,1.90552290e-02
199,1.99000000e-02,1.99802819e+00,-1.96200000e-01,1.92472200e-02
200,2.00000000e-02,1.99800847e+00,-1.97181000e-01,1.94401734e-02
201,2.01000000e-02,1.99798866e+00,-1.98162000e-01,1.96340891e-02
202,2.02000000e-02,1.99796874e+00,-1.99143000e-01,1.98289672e-02
203,2.03000000e-02,1.99794873e+00,-2.00124000e-01,2.00248077e-02
204,2.04000000e-02,1.99792862e+00,-2.01105000e-01,2.02216105e-02
205,2.05000000e-02,1.99790841e+00,-2.02086000e-01,2.04193757e-02
206,2.06000000e-02,1.99788810e+00,-2.03067000e-01,2.06181032e-02
207,2.07000000e-02,1.99786770e+00,-2.04048000e-01,2.08177932e-02
208,2.08000000e-02,1.99784720e+00,-2.05029000e-01,2.10184454e-02
209,2.09000000e-02,1.99782659e+00,-2.06010000e-01,2.12200601e-02
210,2.10000000e-02,1.99780590e+00,-2.06991000e-01,2.14226370e-02
211,2.11000000e-02,1.99778510e+00,-2.07972000e-01,2.16261764e-02
212,2.12000000e-02,1.99776420e+00,-2.08953000e-01,2.18306781e-02
213,2.13000000e-02,1.99774321e+00,-2.09934000e-01,2.20361422e-02
214,2.14000000e-02,1.99772212e+00,-2.10915000e-01,2.22425686e-02
215,2.15000000e-02,1.99770093e+00,-2.11896000e-01,2.24499574e-02
216,2.16000000e-02,1.99767964e+00,-2.12877000e-01,2.26583086e-02
217,2.17000000e-02,1.99765825e+00,-2.13858000e-01,2.28676221e-02
218,2.18000000e-02,1.99763677e+00,-2.14839000e-01,2.30778980e-02
219,2.19000000e-02,1.99761519e+00,-2.15820000e-01,2.32891362e-02
220,2.20000000e-02,1.99759351e+00,-2.16801000e-01,2.35013368e-02
221,2.21000000e-02,1.99757173e+00,-2.17782000e-01,2.37144998e-02
222,2.22000000e-02,1.99754985e+00,-2.18763000e-01,2.39286251e-02
223,2.23000000e-02,1.99752788e+00,-2.19744000e-01,2.41437128e-02
224,2.24000000e-02,1.99750581e+00,-2.20725000e-01,2.43597628e-02
225,2.25000000e-02,1.99748364e+00,-2.21706000e-01,2.45767752e-02
226,2.26000000e-02,1.99746137e+00,-2.22687000e-01,2.47947500e-02
227,2.27000000e-02,1.99743900e+00,-2.23668000e-01,2.50136871e-02
228,2.28000000e-02,1.99741654e+00,-2.24649000e-01,2.52335866e-02
229,2.29000000e-02,1.99739397e+00,-2.25630000e-01,2.54544485e-02
230,2.30000000e-02,1.99737131e+00,-2.26611000e-01,2.56762727e-02
231,2.31000000e-02,1.99734855e+00,-2.27592000e-01,2.58990592e-02
232,2.32000000e-02,1.99732570e+00,-2.28573000e-01,2.61228082e-02
233,2.33000000e-02,1.99730274e+00,-2.29554000e-01,2.63475195e-02
234,2.34000000e-02,1.99727969e+00,-2.30535000e-01,2.65731931e-02
235,2.35000000e-02,1.99725654e+00,-2.31516000e-01,2.67998291e-02
236,2.36000000e-02,1.99723329e+00,-2.32497000e-01,2.70274275e-02
237,2.37000000e-02,1.99720994e+00,-2.33478000e-01,2.72559882e-02
238,2.38000000e-02,1.99718649e+00,-2.34459000e-01,2.74855113e-02
239,2.39000000e-02,1.99716295e+00,-2.35440000e-01,2.77159968e-02
240,2.40000000e-02,1.99713931e+00,-2.36421000e-01,2.79474446e-02
241,2.41000000e-02,1.99711557e+00,-2.37402000e-01,2.81798548e-02
242,2.42000000e-02,1.99709173e+00,-2.38383000e-01,2.84132273e-02
243,2.43000000e-02,1.99706779e+00,-2.39364000e-01,2.86475622e-02
244,2.44000000e-02,1.99704376e+00,-2.40345000e-01,2.88828595e-02
245,2.45000000e-02,1.99701962e+00,-2.41326000e-01,2.91191191e-02
246,2.46000000e-02,1.99699539e+00,-2.42307000e-01,2.93563411e-02
247,2.47000000e-02,1.99697106e+00,-2.43288000e-01,2.95945255e-02
248,2.48000000e-02,1.99694664e+00,-2.44269000e-01,2.98336722e-02
249,2.49000000e-02,1.99692211e+00,-2.45250000e-01,3.00737813e-02
250,2.50000000e-02,1.99689749e+00,-2.46231000e-01,3.03148527e-02
251,2.51000000e-02,1.99687277e+00,-2.47212000e-01,3.05568865e-02
252,2.52000000e-02,1.99684795e+00,-2.48193000e-01,3.07998826e-02
253,2.53000000e-02,1.99682303e+00,-2.49174000e-01,3.10438411e-02
254,2.54000000e-02,1.99679802e+00,-2.50155000e-01,3.12887620e-02
255,2.55000000e-02,1.99677290e+00,-2.51136000e-01,3.15346452e-02
256,2.56000000e-02,1.99674769e+00,-2.52117000e-01,3.17814908e-02
257,2.57000000e-02,1.99672238e+00,-2.53098000e-01,3.20292988e-02
258,2.58000000e-02,1.99669697e+00,-2.54079000e-01,3.22780691e-02
259,2.59000000e-02,1.99667147e+00,-2.55060000e-01,3.25278018e-02
260,2.60000000e-02,1.99664586e+00,-2.56041000e-01,3.27784968e-02
261,2.61000000e-02,1.99662016e+00,-2.57022000e-01,3.30301542e-02
