snap,time,x,y,z
0,0.000000e+00,1.609639e+00,1.471038e+00,8.031446e-01
0,0.000000e+00,1.680763e+00,5.752938e-01,8.146920e-01
0,0.000000e+00,8.791504e-01,1.309933e+00,7.158425e-02
0,0.000000e+00,6.825679e-01,1.540562e+00,1.134413e+00
0,0.000000e+00,9.090381e-01,1.473388e+00,1.587397e+00
0,0.000000e+00,9.737014e-01,5.133183e-01,1.009847e+00
0,0.000000e+00,1.134859e+00,1.725288e+00,4.385222e-01
0,0.000000e+00,1.907519e+00,1.853605e+00,1.836638e+00
0,0.000000e+00,4.405128e-01,1.518244e+00,1.362677e+00
0,0.000000e+00,1.188667e+00,1.254007e+00,1.882971e+00
0,0.000000e+00,5.836903e-02,1.881573e-01,1.247904e+00
0,0.000000e+00,7.496308e-02,1.329905e+00,8.057707e-01
0,0.000000e+00,1.176410e+00,6.747333e-02,4.013326e-01
0,0.000000e+00,3.658328e-01,5.639075e-01,8.482986e-01
0,0.000000e+00,1.327752e+00,1.417946e+00,3.766870e-01
0,0.000000e+00,9.701587e-01,4.466470e-01,8.350052e-01
0,0.000000e+00,1.925015e+00,1.526506e+00,6.152932e-01
0,0.000000e+00,4.185471e-01,1.489025e+00,5.238987e-01
0,0.000000e+00,3.101953e-01,1.874538e+00,9.714298e-02
0,0.000000e+00,1.617882e+00,1.118205e+00,1.296150e+00
0,0.000000e+00,1.555862e+00,1.121574e+00,1.429307e+00
0,0.000000e+00,8.587757e-01,1.141538e+00,8.142126e-01
0,0.000000e+00,1.609556e+00,3.729474e-01,8.266860e-01
0,0.000000e+00,8.592071e-01,6.653203e-02,8.085390e-01
0,0.000000e+00,1.180904e+00,9.816907e-01,1.200186e+00
0,0.000000e+00,7.091886e-02,9.617057e-01,7.816921e-01
0,0.000000e+00,6.312219e-01,1.325253e+00,3.257176e-01
0,0.000000e+00,1.100130e+00,1.580448e+00,2.552558e-01
0,0.000000e+00,1.142283e+00,1.253330e+00,1.318461e+00
0,0.000000e+00,4.934429e-01,8.641922e-01,4.950357e-01
0,0.000000e+00,7.369823e-01,1.332524e+00,1.899521e+00
0,0.000000e+00,1.508678e+00,1.343423e+00,6.383008e-01
0,0.000000e+00,8.992812e-01,2.576299e-01,6.498328e-01
0,0.000000e+00,1.652830e+00,1.383534e+00,1.576524e+00
0,0.000000e+00,9.080258e-01,1.399453e+00,5.932293e-01
0,0.000000e+00,1.634728e+00,8.567454e-02,1.863482e+00
0,0.000000e+00,1.905455e+00,1.130805e+00,1.498930e+00
0,0.000000e+00,2.157207e-01,3.280881e-01,8.072601e-01
0,0.000000e+00,1.479192e+00,7.665310e-01,1.616452e+00
0,0.000000e+00,1.919237e+00,6.892908e-01,1.339420e+00
0,0.000000e+00,1.510351e+00,9.349511e-01,1.253673e-01
0,0.000000e+00,2.036613e-01,1.779232e+00,3.279972e-01
0,0.000000e+00,7.985039e-01,1.487062e+00,1.656531e+00
0,0.000000e+00,4.300373e-01,4.500882e-01,1.110984e+00
0,0.000000e+00,9.682764e-01,1.398160e-01,1.141658e+00
0,0.000000e+00,4.407082e-01,2.609918e-01,6.005513e-01
0,0.000000e+00,1.192978e+00,1.685183e+00,1.312082e+00
0,0.000000e+00,8.644401e-01,1.659421e+00,5.637311e-02
0,0.000000e+00,2.588701e-01,1.270241e+00,1.372646e+00
0,0.000000e+00,9.308243e-01,8.355916e-01,3.625973e-01
0,0.000000e+00,1.001201e+00,9.842529e-01,1.968297e-01
0,0.000000e+00,1.274208e+00,1.727757e+00,1.628892e+00
0,0.000000e+00,9.857492e-01,2.127941e-01,1.339803e-01
0,0.000000e+00,1.517427e-01,1.126070e+00,2.187963e-01
0,0.000000e+00,1.238411e+00,6.783866e-02,2.640674e-01
0,0.000000e+00,1.510884e+00,4.535468e-01,4.700591e-01
0,0.000000e+00,1.664447e-01,1.591525e+00,2.102426e-01
0,0.000000e+00,1.424920e+00,7.148350e-01,1.139904e+00
0,0.000000e+00,8.525757e-01,1.590659e+00,1.920496e+00
0,0.000000e+00,1.160183e+00,6.468607e-01,9.597487e-01
0,0.000000e+00,1.302022e+00,1.866069e+00,7.425055e-01
0,0.000000e+00,9.859243e-01,9.068184e-01,9.002996e-01
0,0.000000e+00,1.064914e+00,1.003561e+00,8.137004e-02
0,0.000000e+00,1.228721e+00,2.969717e-01,9.420871e-02
0,0.000000e+00,1.437798e+00,1.752855e+00,4.927555e-01
0,0.000000e+00,1.852867e+00,1.864300e+00,1.392804e-01
0,0.000000e+00,1.181191e-01,1.342837e+00,5.952453e-01
0,0.000000e+00,1.877792e+00,8.227564e-01,1.255080e+00
0,0.000000e+00,1.072706e+00,1.620332e+00,9.007397e-01
0,0.000000e+00,1.048212e+00,8.355149e-01,1.492600e+00
0,0.000000e+00,6.297043e-02,1.925372e-01,1.413670e+00
0,0.000000e+00,1.595795e+00,2.433760e-01,1.324049e+00
0,0.000000e+00,1.661394e+00,9.098942e-01,1.373876e+00
0,0.000000e+00,2.091589e-01,8.177609e-01,1.293176e+00
0,0.000000e+00,2.934490e-01,8.808799e-01,6.910126e-01
0,0.000000e+00,8.337041e-01,8.136721e-01,1.458769e+00
0,0.000000e+00,1.437943e-01,1.831378e+00,1.134101e+00
0,0.000000e+00,9.895438e-01,9.345903e-01,1.914616e+00
0,0.000000e+00,5.371540e-01,9.425607e-01,1.621532e-01
